,Segment_labels,TotalMonetary,TotalCustomers,MeanRecency,MeanFrequency,Monetary%,Customers%
11,VIP,14670918.12,11425,2.090328227571116,10.281225382932167,80.07713455159501,20.462442239495648
9,Top Recent,1127291.22,2082,12.160422670509126,5.524495677233429,6.153006237538165,3.728910699573736
2,High Promising,775703.39,5760,3.0935763888888888,3.7192708333333333,4.233961652916538,10.316294730809185
8,Need Activation,485119.26,12831,25.265450861195543,1.4005923154859325,2.6478888327808487,22.980621126911917
1,High New,338787.58,3243,8.456059204440333,1.4936786925686094,1.849177972787245,5.808288856252462
0,High Loyal,315639.25,2442,13.13063063063063,3.2714987714987713,1.722829238448134,4.37367912024931
6,Medium New,228072.1,6333,8.828201484288646,1.2033791252171167,1.2448682549913128,11.342551133717807
10,Top at Risk ,178808.6,448,23.178571428571427,4.450892857142857,0.9759771136383611,0.8023784790629365
7,Medium Potential,74488.14,1821,3.343767160900604,2.602416254805052,0.4065728375340456,3.2614535945839456
3,Low Loyal,59468.93,6557,10.889888668598445,1.1210919627878604,0.32459464842609215,11.743740373249274
5,Medium Loyal,51581.22,1276,13.406739811912226,2.500783699059561,0.2815417726750576,2.2853458466167567
4,Low New,15105.08,1616,0.9857673267326733,1.1602722772277227,0.08244688666919005,2.8942937994770213
